,contents
0,我怀疑你在影射我VV什么
1,自带弹幕
2,88888888
3,381鱼雷警告
4,啊！是女提督！awsl
5,有的哦
6,截图做壁纸
7,舰r那边好多都不认识了
8,她笑起来像个驱逐舰
9,god bless peace
10,UP主在这里放VV是故意的吗(滑稽)→w→
11,太太我喜欢你！！！
12,OVO
13,哈哈哈哈哈哈哈哈太缺德了哈哈哈哈哈哈哈哈
14,美！
15,碧蓝航线誓约背景
16,独角兽
17,VV怎么挺胸？？
18,萨拉托加                        
19,0v0
20,看到光辉那一刻我知道vv幸福的要死了
21,我好帅！
22,威尔士亲王              罗德尼
23,钢板！
24,爱宕
25,OvO
26,还有少前？
27,事钢板！
28,有啊
29,光辉
30,钢板
31,是钢板！wsl
32,赤城                        加贺
33,都是誓约台词
34,威尔士亲王                    
35,萨拉托加                                    
36,爱宕
37,          列克星敦
38,标枪
39,列太太~
40,两个老罗才对
41,仨吉祥物23333
42,这是指挥官吗
43,        欧根亲王
44,哈曼
45,0v0
46,               让·巴尔
47,左边是r的罗德尼啊喂
48,好有爱啊！
49,凌波
50,企业
51,逸仙
52,火钳刘明
53,贝尔法斯特
54,笑一笑吧
55,小狐狸
56,(⁄ ⁄•⁄ω⁄•⁄ ⁄)
57,蛮啾                         
58,碧蓝航线港区
59,错了，左边是舰r的罗德尼，右边是碧蓝的罗德尼
60,密苏里
61,ovo
62,0v0
63,ovo
64,都是好事
65,来了来了，
66,M16A1 16哥
67,wwwwwww
68,小狐狸      独角兽
69,少前X舰B
70,16鸽
71,维内托 大姐头
72,碧蓝的威尔士亲王       舰R的胡德
73,昆西昆西昆
74,。
75,。
76,“充斥着猜疑妒忌”
77,真好呀
78,“即便有人因此哭泣”
79,少前的机关枪(｡･ω･｡)ﾉ♡
80,我看见罗德尼的词了
81,“习惯了争论谩骂”
82,狗子
83,“也无人会留心在意”
84,“到底该如何改变”
85,汤姆逊
86,“那就让我们一起笑一笑吧！”
87,“让我们能够互相理解”
88,钢板！
89,等等！这大小不对！
90,企业
91,黎姐和82
92,啊！！加加！！！
93,萤火虫
94,欧根和猫
95,列克星敦
96,0v0
97,前面说钢板的鼻梁骨都给我安排上www
98,猫
99,左边这是大哥？
100,zal
101,昆西昆西昆
102,OvO
103,三只吉祥物
104,老婆啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！
105,OvO
106,OVO
107,俾斯麦   欧根亲王
108,萤火虫  标枪  G11
109,贝爷
110,汤姆森
111,哈曼
112,昆西
113,说起来这个白色的团子是什么？ớ ₃ờ
114,OvO!
115,是galo！wsl
116,UMP45
117,OvO
118,企业
119,这个长图up可以放到动态吗？
120,舰r的黎塞留    碧蓝的让巴尔
121,这2个真太像姐妹了！
122,少前的FAL    舰r的菲尔普斯
123,贝尔法斯特
124,舰r吉祥物  “GALO”
125,舰B独角兽（妹妹）
126,三家吉祥物合照
127,少前G41
128,电视机前的你（滑稽）
129,“唯有笑容才是这个世界的全部”
130,肝痛
131,承包我45爹！
132,“也是她们的全部”
133,大哥!
134,0v0
135,大哥×胡德
136,龟龟
137,尤尼可
138,黎塞留让巴尔。。
139,你在看哈曼的哪里啦!hentai!
140,仙人球!
141,0v0
142,钢板！
143,吹雪绫波狗子？
144,感动
145,fal!
146,贝爷！
147,少女前线誓约背景
148,不能，381警告！！！
149,舰R逸仙
150,企业！
151,本子王爱宕
152,战舰少女R誓约背景
153,妹妹！
154,独角兽一抹多
155,笑一笑吧
156,舰R列克星敦和舰B列克星敦
157,碧蓝航线妹妹
158,啊，是ro!
159,fal的大貂这是怎么了？
160,错了，碧蓝航线小加加
161,扫黄队常客
162,少女前线誓约场景
163,战舰少女誓约场景
164,吃喝
165,吹雪   绫波   狗子
166,塞猫！
167,舰R胡德
168,光辉老婆
169,双太太
170,ro!
171,来啦
172,这是？
173,黎姐和让巴尔
174,萨拉托加       胡德        Kar98k
175,平胸怪
176,哈曼
177,企业
178,98k
179,吹包子！
180,三家看板娘合照
181,贝尔法斯特
182,舰r的吹雪   碧蓝的绫波   少前的狗子
183,太太乐！
184,芝加哥打字机，参上！
185,大哥天下第一
186,黎姐 让巴尔 标枪 萤火虫
187,OvO
188,"awsl,是狗子"
189,左边的是大哥
190,三个吉祥物
191,首冲
192,舰R的港区夜景！
193,鼻梁骨警告
194,锉刀怪你胸怎么变大了
195,后排说明：红字不止一个人，后来的红字补充了更多的人物名字
196,就属小加加胸小了
197,唯有笑容才是这个世界的全部
198,冲冲冲
199,唯有笑容才是这个世界的全部
200,唯有笑容才是这个世界的全部
201,16哥起床拖尸啦(๑>؂<๑）
202,唯有笑容才是这个世界的全部
203,唯有笑容才是这个世界的全部
204,驱逐舰
205,祝福大家2019快乐
206,唯有笑容才是这个世界的全部
207,←其实是女装的提督
208,少前的M1941
209,"是绫波，是狗子,wsl"
210,也是她们的全部
211,两大哥！？
212,也是她们的全部
213,少前的中秋背景
214,也是她们的全部
215,也是她们的全部
216,也是她们的全部
217,太太啊我爱你啊
218,也是她们的全部
219,也是她们的全部
220,唯有笑容才是这个世界的全部
221,唯有笑容才是这个世界的全部
222,唯有笑容才是这个世界的全部
223,策划策划。
224,耶～～～
225,啊是钻头awsl
226,如果我哪天死了，请把我的骨灰撒在大海里。不是为了国家节省土地，也不是缅怀着祖国，而是死了之后接着浪。
227,g41！
228,0v0
229,老罗！
230,大哥！
231,唯有笑容才是这个世界的全部
232,唯有笑容才是这个世界的全部
233,哈曼赛高
234,也是她们的全部
235,老婆！
236,唯有笑容才是这个世界的全部
237,也是她们的全部
238,那是。。。落樱神斧？
239,让巴尔老婆！！！！为啥在我的港区你不笑啊！
240,也是她们的全部
241,也是她们的全部
242,也是她们的全部
243,真好
244,光辉我爱你阿阿阿阿阿阿
245,玩家共荣就在今天
246,维内托
247,玩家共荣就在今天
248,玩家共荣就在今天
249,赤城我爱你阿阿阿阿阿阿
250,R的提督室！
251,大哥和胡德
252,太太我喜欢你啊啊啊啊啊！
253,OvO
254,欧根我爱你阿阿阿阿阿阿
255,光辉老婆！（破音）
256,“肯定不是英语而是笑容”
257,“一定能打开心灵的大门”
258,“我相信这个世界上的通用语言”
259,“让我们单纯快乐地相聚在一起”
260,这是m1919
261,妹妹！！！
262,小狐狸 wsl
263,“仿佛被我们的笑容传染了一般”
264,妹妹酱！！！！
265,来了来了
266,“她们也都中了笑容的魔法一般”
267,嗯？R量不对 你根本不是平胸怪！
268,“笑容就是我们互相理解的力量”
269,企业
270,16哥笑容太美了 忍不住0-2
271,大哥终于要把手伸向平行世界了吗
272,“希望你能永远拥有这笑容”
273,他的笑容宛如驱逐舰一般美丽
274,“希望你从心底感到快乐幸福”
275,有老婆们陪着，老公很快乐哦～
276,“因为我们都相聚在同一个地方”
277,吃喝
278,罗德尼
279,0v0
280,太太！太太我喜欢你啊
281,就算不是为了我们，也要想着她们。只有笑容才是这个世界的全部，也是她们的全部
282,让巴尔和黎姐啊啊啊啊啊
283,条件反射捂住鼻子，不过还是要说一句新年快乐
284,本来眼角还有些酸酸的，看到这里瞬间笑喷了
285,“喵”
286,爱宕姐的笑容太温暖了\(//∇//)\
287,是世界最强！
288,太太我喜欢你啊
289,这个素舰R的秘书里嘞
290,0v0
291,指挥官＆提督（秃子）
292,黎姐
293,咦？右边谁 哪个游戏有这人？
294,这视频唱着唱着蹦出来个钢板
295,龟龟！
296,汤姆逊波纹疾走！
297,lucky什么?lu什么E?什么kye?
298,我永远喜欢小加加！萨拉托加
299,小姨子真好
300,太太！
301,标枪我喜欢你啊！
302,吹雪天下第一！
303,锉刀！
304,老尼！
305,是你，大哥
306,妹妹！
307,大狗！
308,来了来了
309,谁tm喊的ro？出来挨打！
310,光辉无敌啊！
311,是m1919
312,呸，m1918
313,威尔士！！！！！
314,好起来饿
315,OvO？
316,ovo
317,唯有笑容才是这个世界的全部
318,大家加油，共同努力
319,也是她们的全部
320,0-2
321,三有共荣
322,ovo
323,汤姆逊色波纹疾走
324,贝法*^O^*
325,大家都在一起
326,法兰西万岁！
327,米佬～
328,凰                   鸾
329,泪目
330,ん？（察觉）
331,666666
332,0v0
333,……太太我好想你啊
334,真好啊
335,0v0!
336,VVVVVV
337,manjuu！！
338,为VV疯狂打call!
339,天青港远景
340,DUANG！
341,反了是舰r的太太和舰b的小姨子
342,（这个地方就是指挥官的手机）
343,太太!太太!太太我喜欢你啊啊啊啊啊啊啊啊啊
344,素质三连！！
345,居然没有钢板集合
346,三修肝硬化深海路过
347,笑容是最真挚的答案，我们爱着的是这写可爱的女孩子啊！！没有什么杂质的爱啊！！！
348,黎姐噫呜呜呜呜
349,看板娘集结
350,贪玩蓝月
351,少女前线G41
352,自带弹幕太草
353,Q W Q
354,m1919a4
355,胡德55555
356,真好啊
357,少前基地背景，月圆人长久
358,胡德别哭
359,来了
360,来了
361,都是我老婆
362,小狐狸！！！！！！
363,一下都是我老婆
364,唯有笑容才是这个世界的全部
365,终于到企业了！
366,啊，双倍的快乐
367,左边是舰r的赤城
368,一航战
369,真好呀
370,昆0v0
371,hentai
372,无论是R还是B，小加加都是我第一个首婚的妻子，我永远的爱人!!!
373,喂↑看破不说破啊
374,泪目
375,真好啊，泪目
376,右边是少女前线的德皇。
377,45姐!（破音）
378,大家都加油_(:з」∠)_
379,g11可爱
380,企业我老婆
381,2019新年快乐
382,0v0
383,有阴影！垫了！
384,galo！wsl
385,真好啊
386,galo！！！！
387,玩家共荣
388,M1919A4
389,猫笑的真开心啊
390,太缺德了wwww
391,OvO
392,双倍的太太
393,菲尔普斯
394,ga lo
395,回来再看一下小狐狸
396,我第一个婚舰就是大E
397,微笑世界
398,OvO↘
399,啊啊啊标枪wsl
400,假装前排
401,我会永远守护你们的
402,老罗的脸是Cey画的无疑了
403,大姐头！
404,求同存异
405,唯有笑容才是这个世界的全不
406,我来组成一航战的弹幕！！！
407,我们所爱的就是这没有杂质笑容啊
408,舰r和舰b版罗德尼
409,我黎姐！
410,我只想说一句。。。。。。全都是我老婆！
411,碧蓝的企业
412,碧蓝的贝法，我首婚
413,和平万岁！！！
414,我的钢板，wsl
415,nice
416,我企业天下无敌！
417,唉，3个游戏都玩的我，看到这里感觉怪怪的
418,先手必胜
419,太美了
420,怎么觉得这张配上歌词有点恶意
421,企业（破音！！）
422,泪目
423,啊有我们女提督！
424,玩家共荣就这今天！
425,新年快乐！
426,只认出来逸仙和维内托的台词........
427,每次扫黄都有你
428,锉刀
429,罗德尼
430,新年快乐
431,我可以说我泪目了吗？
432,啊妹妹
433,大哥今天打谁
434,唯有笑容才是这个世界的全部
435,米西米西，是海军部吗
436,企业！
437,大哥摸到隔壁去了。。。
438,OvO
439,塞猫
440,OvO昆
441,galo wsl
442,平胸
443,M1919A4
444,RO的那个你是魔鬼吗
445,三厨欢喜
446,RO的那个你说
447,0-2233
448,哈哈哈哈哈哈哈，歌词和剪辑过于缺德
449,这里应该指舰r早期被骂抄袭
450,真的希望所有游戏的玩家放弃自己的偏见
451,明明大家都是喜欢纸片人的同好，为什么不可以好好相处呢（哭泣）
452,希望一直这样！
453,是狗子 我死了
454,忽然心酸qwq
455,开场就是我老婆逸仙！
456,哈哈哈哈。
457,你有你的世界，她们只有你，请善待她们
458,2019，再度起航
459,我喜欢狗子
460,发出单身的声音：龟龟
461,三连！
462,罗德尼
463,(*σ´∀`)σ
464,VV哪来胸
465,1919？
466,r大凤？
467,抱歉，我没时间肝了，抛弃了你们
468,aa45
469,太太我喜欢你阿“”
470,狗子！
471,汤汤汤！
472,少前98k
473,汤哥！
474,1919
475,新年快乐
476,本指挥官，提督，为你们而战！
477,这里忍不住眼眶湿润了
478,老婆维内托
479,0v0
480,哭了
481,0v0
482,真好啊
483,希望玩家之间能抛弃偏见
484,欧根！！！
485,2019快乐
486,太好了
487,太太
488,波斯猫
489,OvO
490,我永远爱着她们
491,16鸽回来拖尸
492,野  兽
493,汤爹，前面有个红雷，拜托了
494,381警告
495,是钢板
496,吃喝
497,什么aa45，明明是鼻梁骨粉碎杯
498,416：只要有我就够了
499,365天头像！！！！
500,416：只要有我就够了！！！
501,企业！
502,退回，开盾了
503,天佑法兰西
504,凤凰
505,昆西
506,哈曼
507,标枪
508,企业!
509,碧蓝           前线
510,为美好的世界献上祝福
511,德皇我就抱走了
512,为美好的世界献上祝福！
513,cey出来挨打！！！
514,最右边是谁啊，是少前的角色吗？
515,我关了弹幕？
516,3休玩家在此，谁敢放肆
517,ovo
518,OvO
519,太太乐
520,太太我喜欢你啊！
521,kar我喜欢你啊!
522,逸仙我老婆！
523,老婆!aaaaa!kar我爱你啊!!!!!!!!
524,别人幸福就够了
525,奇            袭
526,祝无论是舰R，舰B还是烧钱的玩家们新年快乐！
527,ovo
528,kar我喜欢你啊!
529,太太我喜欢你啊
530,19年快乐
531,泪目
532,少前
533,为什么就是这样一个视频!我老婆也只露了半张脸啊!!!!
534,OvO
535,我的全部
536,小狐狸！
537,哇这个真的...
538,g11！
539,昆西
540,芝加哥打字机
541,老婆
542,钢板！
543,老婆！
544,我也是三个都玩
545,也是我的全部
546,超棒啊
547,真的希望所有游戏的玩家放弃自己的偏见
548,cey佬！
549,驱逐战列最强
550,胡德
551,太太我喜欢你啊
552,吹爆波斯猫
553,小狐狸
554,昆昆昆昆昆昆昆
555,黎姐
556,看什么看 起来拖尸
557,45姐
558,企业，强无敌!企业，我老婆!（破音!）
559,龟龟
560,小狐狸qwq
561,太太！我爱你啊
562,舰B圣诞活动主题内宅
563,腿仙！
564,汤哥！
565,极品锉刀不接受反驳
566,昆西昆西昆
567,鼻梁粉碎者
568,98k
569,舰r的赤城和舰b的加贺
570,锉刀   赛猫  德皇
571,G41我爱你！
572,水叔的M1919A4！
573,小狐狸我的!
574,拖尸!
575,少前中秋背景
576,火钳刘明
577,威尔士，，右边的是~~~
578,吃喝
579,我家98K你居然不认识？找打！
580,我永远我永远喜欢vv大姐头
581,她们的笑容让我们来守护吧。。。。不管你是少前玩家还是舰r玩家。。。。我们都是她们最爱的人
582,这个是女武神活动的头像
583,真好啊
584,萨拉输家
585,vv没胸怎么挺啊
586,是光辉老婆！！！
587,ovo
588,啊！双倍的快乐
589,不是女武神，是周年奖励
590,红字。。并不是。。那都是加加
591,争议(指表演一下那个)
592,是企业，wsl
593,有你们真幸福
594,黎姐我爱你啊
595,OVO
596,皮兰古城
597,好暖
598,钢板
599,所有游戏都玩过，什么会有偏见，你们都是我的天使啊！
600,舰R俾斯麦                 舰B欧根
601,我，毫无偏见，全部都爱!
602,新年快乐！
603,秘书李!
604,贝法！！！！
605,我擦？锉刀怪？
606,欧根！！！！天下第一！！！
607,哈曼曼！
608,凌波！！！！！
609,是企业！awsl
610,贝爷啊啊啊啊啊啊！！！
611,光辉啊啊啊啊啊！！！
612,同是gamer为什么要相互争斗呢？
613,祝大家2019年新年快乐
614,我永远喜欢g41 
615,汤哥今天砍谁？
616,心跳boy的龙鳞板！
617,大家，加油
618,新年快乐鸭
619,大姐头 今晚干谁
620,大姐头
621,我，既是一个提督，也是一个指挥官
622,0v0
623,起来，开盾了
624,哇，是钢板eggdguxidgrjsoh
625,真的，内心暖暖的
626,ovo
627,2019祝碧蓝少前突破新高，祝你游可持续性药丸！
628,哇是冷门枪
629,逸仙我喜欢你啊
630,381鱼雷～
631,德德酱！
632,太太我喜欢你啊啊啊啊啊啊啊啊啊啊啊啊啊啊
633,0v0
634,难懂的话语（指日语）
635,大哥！
636,列克星敦的枪声警告
637,企日天！
638,站在食物链顶端的女人
639,新年快乐
640,太太我喜欢你啊！
641,有我们女提了！！！
642,标枪赛高
643,唯有笑容才是这个世界的全部
644,绫斩仙儿
645,大e天下第一
646,我家的女仆快回家
647,汤哥！
648,虫群永不息
649,16鸽！！！
650,G41小狐狸
651,妹妹！！
652,爱大狗
653,似你，锉刀怪
654,0v0
655,妹妹
656,2019加油
657,猛男落泪
658,是 Cey大佬！
659,双修玩家在此！
660,m1919a4？
661,舰B卫星
662,good job
663,猛男落泪
664,这不是那个画黄图的吗？23333
665,祝自家姑娘们，2019年快乐
666,发出水乌龟的声音
667,0v0
668,猛男落泪
669,嗯，这胸怎么回事
670,老罗
671,R还没有让巴尔，B的黎姐还是卫星，姐妹团聚真的不容易
672,妹妹！
673,光辉
674,加加⊙∀⊙！
675,舰b2017新年主题
676,0v0
677,太太我喜欢你啊！！！
678,挺胸(ಡωಡ) 
679,绫波老婆wwwwwww⊙∀⊙！
680,舰b港区夜景
681,贝爷⊙∀⊙！
682,大E
683,绫波老婆！⊙∀⊙！⊙∀⊙！⊙∀⊙！⊙∀⊙！
684,我会的，我保证
685,真好啊！
686,泥萌L('ω')┘三└('ω')｣
687,再遥远而晦暗的未来.jpg
688,ovo
689,太太乐！！！！！！！！！！！！！！！！！！！！！！！！！！！
690,galo
691,秘书= =
692,人类互相理解.jpg
693,萨拉输加（滑稽）
694,闭 眼 张 嘴 船
695,大姐头
696,0v0
697,落樱神斧
698,争论谩骂（德德酱，你能再表演一下那个吗）
699,g11是初始吗（小声）
700,0v0
701,是看板娘！
702,薇薇拉弗朗士！
703,龟龟！
704,do
705,光辉
706,泪目
707,16鸽，该去拖尸了
708,vivi 
709,viva la France
710,务必把这个顶上去啊（｡ò ∀ ó｡）
711,三修玩家落泪
712,鸡么么！
713,是龟龟！
714,0v0
715,猛男落泪
716,新年快乐
717,大哥！
718,表示都玩了一两年
719,你可以看不见vv的凶，但是不可以看不见381
720,vv啊！大姐头！
721,真好啊
722,我们需要太太乐
723,啊啊啊啊啊啊啊啊太太我喜欢你啊
724,0v0
725,心如止水（物理）
726,赤诚老婆
727,我我我看哭了
728,莫名泪目
729,大家都要和睦相处啊
730,小姨子的笑容23333
731,第四舰队的野兽
732,求ljhm尽快实装让巴尔
733,舰b大哥和舰r胡德
734,挺起胸23333
735,0v0
736,老罗语录合照
737,vv！！！！！！！！！
738,太太我喜欢你啊
739,密苏里我老婆
740,德德酱，不要停下来啊（指斩杀刁民）
741,0v0
742,vivi france！
743,交换宠物2333
744,是水乌龟！
745,galo:猫头扑食者
746,世界的本质是太太乐！
747,唯有笑容才是这个世界的全部
748,萤火虫！
749,狗子！！！！
750,大姐头！
751,密密我喜欢你啊qwq
752,太太！！（破音）
753,OvO
754,新年快乐
755,我就剩这个了
756,OvO
757,老婆阿
758,泪目
759,第四舰队的逗比明明是（滑稽）
760,挺胸放vv...太不厚道了
761,381警警警告
762,企业！！！
763,双倍的太太，双倍的幸福。
764,小G11
765,德皇！都43次大建了，为什么还不来啊！难道很讨厌我吗？
766,狗子！你家Ro呢！
767,小板板
768,你汤爹永远都是你汤爹
769,兵蚁不该是黄的吗？
770,大E！
771,猛男落泪
772,？？？？
773,能再表演一下吗？（滑稽）
774,ovo
775,加油
776,猛男落泪
777,↙狐度制单位
778,当你需要我的时候 我将为你出战 my  princess
779,16哥你在干什么啊！去拖尸啊
780,45老婆！！！
781,381警告
782,Z404：好的，我这就滚
783,OVO
784,我哭了你们呢？
785,cey
786,0v0
787,唯有笑容才是这个世界的全部
788,你可以有整个世界，但对她们来说，你就是她们的世界
789,光辉老婆
790,很棒\(^o^)/
791,欧根！（破音）
792,企业老婆！
793,阿汤姐
794,我怎么这么帅！！
795,贝爷!!!（破音）
796,看哭了QAQ
797,老婆
798,小狐狸！！！！！！
799,大哥我们今晚打谁！！！！
800,我永远爱让巴尔。
801,汤哥万岁！！！
802,你们太坏了hhhhh，又黑龟龟
803,你们的老婆都可以跨游戏好好相处，你们呢？
804,fal！！！！！！！！
805,三家吉祥物！！！！！！！！
806,你们的老婆都可以跨游戏好好相处，你们呢？
807,你们的老婆都可以跨游戏好好相处，你们呢？
808,你们的老婆都可以跨游戏好好相处，你们呢？
809,你们的老婆都可以跨游戏好好相处，你们呢？
810,你们的老婆都可以跨游戏好好相处，你们呢？
811,你们的老婆都可以跨游戏好好相处，你们呢？
812,逮虾王
813,你们的老婆都可以跨游戏好好相处，你们呢？
814,你们的老婆都可以跨游戏好好相处，你们呢？
815,你们的老婆都可以跨游戏好好相处，你们呢？
816,你们的老婆都可以跨游戏好好相处，你们呢？
817,你们的老婆都可以跨游戏好好相处，你们呢？
818,16鸽 不去拖尸啦你高兴吗
819,新的一年好好干啊！我亲爱的姑娘们！
820,对啊，是她们的全部啊！
821,太太我喜欢你啊！
822,你游的本质就是太太乐
823,FAL普斯
824,难怪画风那么眼熟，是cey啊！
825,噶咯！
826,太太啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
827,所以说祝你们新年快乐啊！
828,别说了真正的玩家都在捞，只有虚假的才会杠
829,光辉！！！
830,少女前线誓约背景
831,vv
832,炖哈曼
833,贝尔法斯特！！！
834,小姨子们
835,大哥！我们今天摸谁！
836,这对……泪目了(ಥ_ಥ)
837,这对……泪目了(ಥ_ಥ)
838,这对……泪目了(ಥ_ಥ)
839,快打电话给军警啊啊啊
840,太没良心了 VV做错了什么
841,好暖
842,威严满满的大姐头好！
843,0v0v0v0v0v0v0
844,说小加加最小的，你是不知道德德酱的胸是塞猫垫出来的
845,OVO
846,把小加加，ump45和维内托放一起可好
847,同一个世界，同一个梦想！
848,企业！
849,这是 三大 看板娘！
850,有关游戏少女前线什么鬼？
851,这是舰B，和舰C无关
852,我只做崩坏3舰长
853,给16哥吃饭
854,笑什么笑 就你没皮
855,碧蓝前线R
856,企业！
857,吹雪赛高  吹雪天下第一
858,kal
859,有没有我闺女拉菲呢
860,老婆！！！！！
